_c0,signal_std,signal_rad,pluie,timestamp
2022-10-08T18:20:00.000+02:00,-23.18047,-30.236221,0,2022-10-08T18:20:00.000+02:00
2022-10-08T18:21:00.000+02:00,-23.16875,-30.237997,0,2022-10-08T18:21:00.000+02:00
2022-10-08T18:22:00.000+02:00,-23.182243,-30.244034,0,2022-10-08T18:22:00.000+02:00
2022-10-08T18:23:00.000+02:00,-23.18615,-30.252201,0,2022-10-08T18:23:00.000+02:00
2022-10-08T18:24:00.000+02:00,-23.181889,-30.248295,0,2022-10-08T18:24:00.000+02:00
2022-10-08T18:25:00.000+02:00,-23.175497,-30.238708,0,2022-10-08T18:25:00.000+02:00
2022-10-08T18:26:00.000+02:00,-23.16946,-30.230894,0,2022-10-08T18:26:00.000+02:00
2022-10-08T18:27:00.000+02:00,-23.160938,-30.233381,0,2022-10-08T18:27:00.000+02:00
2022-10-08T18:28:00.000+02:00,-23.153126,-30.23196,0,2022-10-08T18:28:00.000+02:00
2022-10-08T18:29:00.000+02:00,-23.153835,-30.240128,0,2022-10-08T18:29:00.000+02:00
2022-10-08T18:30:00.000+02:00,-23.149574,-30.23693,0,2022-10-08T18:30:00.000+02:00
2022-10-08T18:31:00.000+02:00,-23.131462,-30.235867,0,2022-10-08T18:31:00.000+02:00
2022-10-08T18:32:00.000+02:00,-23.145313,-30.226633,0,2022-10-08T18:32:00.000+02:00
2022-10-08T18:33:00.000+02:00,-23.146023,-30.228054,0,2022-10-08T18:33:00.000+02:00
2022-10-08T18:34:00.000+02:00,-23.148508,-30.23196,0,2022-10-08T18:34:00.000+02:00
2022-10-08T18:35:00.000+02:00,-23.160227,-30.223438,0,2022-10-08T18:35:00.000+02:00
2022-10-08T18:36:00.000+02:00,-23.159517,-30.222372,0,2022-10-08T18:36:00.000+02:00
2022-10-08T18:37:00.000+02:00,-23.160227,-30.222727,0,2022-10-08T18:37:00.000+02:00
2022-10-08T18:38:00.000+02:00,-23.168396,-30.223438,0,2022-10-08T18:38:00.000+02:00
2022-10-08T18:39:00.000+02:00,-23.159872,-30.223082,0,2022-10-08T18:39:00.000+02:00
2022-10-08T18:40:00.000+02:00,-23.168396,-30.223793,0,2022-10-08T18:40:00.000+02:00
2022-10-08T18:41:00.000+02:00,-23.163069,-30.223438,0,2022-10-08T18:41:00.000+02:00
2022-10-08T18:42:00.000+02:00,-23.161648,-30.220242,0,2022-10-08T18:42:00.000+02:00
2022-10-08T18:43:00.000+02:00,-23.166618,-30.218466,0,2022-10-08T18:43:00.000+02:00
2022-10-08T18:44:00.000+02:00,-23.163424,-30.219887,0,2022-10-08T18:44:00.000+02:00
2022-10-08T18:45:00.000+02:00,-23.157387,-30.217754,0,2022-10-08T18:45:00.000+02:00
2022-10-08T18:46:00.000+02:00,-23.166975,-30.207813,0,2022-10-08T18:46:00.000+02:00
2022-10-08T18:47:00.000+02:00,-23.161293,-30.208523,0,2022-10-08T18:47:00.000+02:00
2022-10-08T18:48:00.000+02:00,-23.16804,-30.2174,0,2022-10-08T18:48:00.000+02:00
2022-10-08T18:49:00.000+02:00,-23.160938,-30.215626,0,2022-10-08T18:49:00.000+02:00
2022-10-08T18:50:00.000+02:00,-23.158096,-30.222372,0,2022-10-08T18:50:00.000+02:00
2022-10-08T18:51:00.000+02:00,-23.154902,-30.222017,0,2022-10-08T18:51:00.000+02:00
2022-10-08T18:52:00.000+02:00,-23.15206,-30.229475,0,2022-10-08T18:52:00.000+02:00
2022-10-08T18:53:00.000+02:00,-23.158451,-30.222372,0,2022-10-08T18:53:00.000+02:00
2022-10-08T18:54:00.000+02:00,-23.154902,-30.2277,0,2022-10-08T18:54:00.000+02:00
2022-10-08T18:55:00.000+02:00,-23.147442,-30.217045,0,2022-10-08T18:55:00.000+02:00
2022-10-08T18:56:00.000+02:00,-23.155256,-30.219532,0,2022-10-08T18:56:00.000+02:00
2022-10-08T18:57:00.000+02:00,-23.149574,-30.221663,0,2022-10-08T18:57:00.000+02:00
2022-10-08T18:58:00.000+02:00,-23.144247,-30.21456,0,2022-10-08T18:58:00.000+02:00
2022-10-08T18:59:00.000+02:00,-23.15419,-30.225567,0,2022-10-08T18:59:00.000+02:00
2022-10-08T19:00:00.000+02:00,-23.147444,-30.223793,0,2022-10-08T19:00:00.000+02:00
2022-10-08T19:01:00.000+02:00,-23.144958,-30.219177,0,2022-10-08T19:01:00.000+02:00
2022-10-08T19:02:00.000+02:00,-23.148863,-30.223793,0,2022-10-08T19:02:00.000+02:00
2022-10-08T19:03:00.000+02:00,-23.148508,-30.21385,0,2022-10-08T19:03:00.000+02:00
2022-10-08T19:04:00.000+02:00,-23.144602,-30.214916,0,2022-10-08T19:04:00.000+02:00
2022-10-08T19:05:00.000+02:00,-23.142117,-30.21882,0,2022-10-08T19:05:00.000+02:00
2022-10-08T19:06:00.000+02:00,-23.147442,-30.218111,0,2022-10-08T19:06:00.000+02:00
2022-10-08T19:07:00.000+02:00,-23.147087,-30.21669,0,2022-10-08T19:07:00.000+02:00
2022-10-08T19:08:00.000+02:00,-23.140697,-30.218111,0,2022-10-08T19:08:00.000+02:00
2022-10-08T19:09:00.000+02:00,-23.13892,-30.221663,0,2022-10-08T19:09:00.000+02:00
2022-10-08T19:10:00.000+02:00,-23.142826,-30.224148,0,2022-10-08T19:10:00.000+02:00
2022-10-08T19:11:00.000+02:00,-23.146732,-30.220596,0,2022-10-08T19:11:00.000+02:00
2022-10-08T19:12:00.000+02:00,-23.142471,-30.219177,0,2022-10-08T19:12:00.000+02:00
2022-10-08T19:13:00.000+02:00,-23.150639,-30.21598,0,2022-10-08T19:13:00.000+02:00
2022-10-08T19:14:00.000+02:00,-23.153126,-30.220242,0,2022-10-08T19:14:00.000+02:00
2022-10-08T19:15:00.000+02:00,-23.138565,-30.219177,0,2022-10-08T19:15:00.000+02:00
2022-10-08T19:16:00.000+02:00,-23.141407,-30.21385,0,2022-10-08T19:16:00.000+02:00
2022-10-08T19:17:00.000+02:00,-23.1375,-30.21456,0,2022-10-08T19:17:00.000+02:00
2022-10-08T19:18:00.000+02:00,-23.139275,-30.21669,0,2022-10-08T19:18:00.000+02:00
2022-10-08T19:19:00.000+02:00,-23.138565,-30.21172,0,2022-10-08T19:19:00.000+02:00
2022-10-08T19:20:00.000+02:00,-23.144247,-30.209232,0,2022-10-08T19:20:00.000+02:00
2022-10-08T19:21:00.000+02:00,-23.142471,-30.21243,0,2022-10-08T19:21:00.000+02:00
2022-10-08T19:22:00.000+02:00,-23.141407,-30.218111,0,2022-10-08T19:22:00.000+02:00
2022-10-08T19:23:00.000+02:00,-23.13892,-30.211008,0,2022-10-08T19:23:00.000+02:00
2022-10-08T19:24:00.000+02:00,-23.141052,-30.208168,0,2022-10-08T19:24:00.000+02:00
2022-10-08T19:25:00.000+02:00,-23.153835,-30.215271,0,2022-10-08T19:25:00.000+02:00
2022-10-08T19:26:00.000+02:00,-23.144247,-30.210653,0,2022-10-08T19:26:00.000+02:00
2022-10-08T19:27:00.000+02:00,-23.142826,-30.215626,0,2022-10-08T19:27:00.000+02:00
2022-10-08T19:28:00.000+02:00,-23.14993,-30.21385,0,2022-10-08T19:28:00.000+02:00
2022-10-08T19:29:00.000+02:00,-23.146378,-30.207813,0,2022-10-08T19:29:00.000+02:00
2022-10-08T19:30:00.000+02:00,-23.146732,-30.205326,0,2022-10-08T19:30:00.000+02:00
2022-10-08T19:31:00.000+02:00,-23.15419,-30.211008,0,2022-10-08T19:31:00.000+02:00
2022-10-08T19:32:00.000+02:00,-23.155256,-30.207458,0,2022-10-08T19:32:00.000+02:00
